Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 0min_untreated	Peptides 15min_untreated	Peptides 180min_untreated	Peptides 30min_untreated	Peptides 60min_untreated	Razor + unique peptides 0min_untreated	Razor + unique peptides 15min_untreated	Razor + unique peptides 180min_untreated	Razor + unique peptides 30min_untreated	Razor + unique peptides 60min_untreated	Unique peptides 0min_untreated	Unique peptides 15min_untreated	Unique peptides 180min_untreated	Unique peptides 30min_untreated	Unique peptides 60min_untreated	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Slice average	Slice 1	Experiment 0min_untreated	Experiment 15min_untreated	Experiment 180min_untreated	Experiment 30min_untreated	Experiment 60min_untreated	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L 0min_untreated	Ratio H/L normalized 0min_untreated	Ratio H/L variability [%] 0min_untreated	Ratio H/L count 0min_untreated	Ratio H/L 15min_untreated	Ratio H/L normalized 15min_untreated	Ratio H/L variability [%] 15min_untreated	Ratio H/L count 15min_untreated	Ratio H/L 180min_untreated	Ratio H/L normalized 180min_untreated	Ratio H/L variability [%] 180min_untreated	Ratio H/L count 180min_untreated	Ratio H/L 30min_untreated	Ratio H/L normalized 30min_untreated	Ratio H/L variability [%] 30min_untreated	Ratio H/L count 30min_untreated	Ratio H/L 60min_untreated	Ratio H/L normalized 60min_untreated	Ratio H/L variability [%] 60min_untreated	Ratio H/L count 60min_untreated	Sequence coverage 0min_untreated [%]	Sequence coverage 15min_untreated [%]	Sequence coverage 180min_untreated [%]	Sequence coverage 30min_untreated [%]	Sequence coverage 60min_untreated [%]	Intensity	Intensity L	Intensity H	Intensity 0min_untreated	Intensity L 0min_untreated	Intensity H 0min_untreated	Intensity 15min_untreated	Intensity L 15min_untreated	Intensity H 15min_untreated	Intensity 180min_untreated	Intensity L 180min_untreated	Intensity H 180min_untreated	Intensity 30min_untreated	Intensity L 30min_untreated	Intensity H 30min_untreated	Intensity 60min_untreated	Intensity L 60min_untreated	Intensity H 60min_untreated	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P25631	P25631	1	1	1	Ankyrin repeat-containing protein YCR051W		>sp|P25631|YCU1_YEAST Ankyrin repeat-containing protein YCR051W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCR051W PE=1 SV=1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	8.1	8.1	8.1	24.694	222	222	1	9	4	3			2	0	0.18302	0.21193	151.5	5	0.12029	0.12988	164.52	2	0.060318	0.069847	156.97	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	8.1	8.1	0	0	8.1	9181700	8709800	471930	4639300	4428700	210540	2782400	2618300	164070	0	0	0	0	0	0	1760100	1662800	97313				426	9108	TRUE	9433	104561;104562;104563;104564;104565;104566;104567;104568;104569	246259;246260;246261;246262;246263;246264;246265;246266;246267;246268;246269;246270;246271;246272;246273;246274;246275;246276	246272		
P25632	P25632	3	3	3	Chromatin structure-remodeling complex protein RSC6	RSC6	>sp|P25632|RSC6_YEAST Chromatin structure-remodeling complex protein RSC6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC6 PE=1 SV=1	1	3	3	3	0	2	1	0	1	0	2	1	0	1	0	2	1	0	1	8.9	8.9	8.9	54.164	483	483	1	4		2	1		1	3.92E-07	0.19273	0.80087	65.125	4	NaN	NaN	NaN	0	0.14251	0.99435	107.9	2	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	1	0	6.4	2.5	0	2.3	5329500	4293900	1035500	0	0	0	3466100	3022400	443700	1197900	688020	509840	0	0	0	665460	583460	82005				427	3738;3917;8311	True;True;True	3842;4026;8609	41788;43558;43559;95299	97139;101069;101070;223507	97139;101069;223507		
P25644	P25644	2	2	2	DNA topoisomerase 2-associated protein PAT1	PAT1	>sp|P25644|PAT1_YEAST DNA topoisomerase 2-associated protein PAT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAT1 PE=1 SV=4	1	2	2	2	0	1	0	0	2	0	1	0	0	2	0	1	0	0	2	3.4	3.4	3.4	88.51	796	796	1	3		1			2	8.79E-16	0.31095	0.5399	95.725	2	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	0	1.8	0	0	3.4	4500400	3399100	1101300	0	0	0	2915600	2200400	715260	0	0	0	0	0	0	1584800	1198700	386060				428	5360;7266	True;True	5551;7523	61214;81480;81481	142136;189338;189339	142136;189338		
P25655	P25655	4	4	4	General negative regulator of transcription subunit 1	CDC39	>sp|P25655|NOT1_YEAST General negative regulator of transcription subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC39 PE=1 SV=3	1	4	4	4	2	2	1	2	1	2	2	1	2	1	2	2	1	2	1	2.6	2.6	2.6	240.28	2108	2108	1	18	3	4	3	5	3	2.78E-33	0.23054	1.1391	72.767	18	0.23384	0.22568	48.496	3	0.21744	1.1763	33.308	4	0.70316	1.1844	6.7262	3	0.20279	1.529	91.673	5	0.22581	1.2683	23.181	3	1.3	1.7	0.7	1.1	0.7	42063000	33824000	8239600	6087900	5172800	915170	10870000	8961500	1908000	6651200	3918000	2733100	8988700	7921000	1067700	9466000	7850500	1615600				429	3178;5256;6067;6928	True;True;True;True	3263;5433;6285;7176	34943;34944;34945;34946;34947;34948;34949;34950;34951;34952;34953;34954;34955;34956;59983;59984;67655;77064	81719;81720;81721;81722;81723;81724;81725;81726;81727;81728;81729;81730;81731;81732;81733;81734;81735;81736;81737;81738;81739;81740;81741;81742;81743;81744;81745;81746;81747;81748;81749;81750;81751;81752;81753;81754;81755;81756;81757;81758;81759;139380;139381;139382;139383;156790;179074;179075;179076	81728;139383;156790;179074		
P25656	P25656	2	2	2	Cell division control protein 50	CDC50	>sp|P25656|CDC50_YEAST Cell division control protein 50 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC50 PE=1 SV=1	1	2	2	2	2	1	0	1	2	2	1	0	1	2	2	1	0	1	2	4.9	4.9	4.9	44.982	391	391	1	6	2	1		1	2	1.99E-05	0.74821	1.3451	148.79	6	0.30244	0.33891	115.58	2	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	1	0.22504	1.0322	116.8	2	4.9	2.8	0	2.8	4.9	18857000	15442000	3415000	8059500	6673900	1385700	1325000	532970	792000	0	0	0	746780	413010	333760	8725700	7822200	903570				430	978;6071	True;True	1002;6289	12527;12528;12529;12530;67676;67677	29117;29118;29119;29120;29121;29122;156829;156830	29120;156830		
P25694	P25694	20	20	20	Cell division control protein 48	CDC48	>sp|P25694|CDC48_YEAST Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3	1	20	20	20	13	18	13	12	13	13	18	13	12	13	13	18	13	12	13	31	31	31	91.995	835	835	1	241	45	53	48	44	51	0	0.20597	1.0184	123.88	223	0.10642	0.12427	109.49	42	0.19615	0.9593	123.2	46	0.64403	1.1589	16.255	45	0.10131	0.97922	99.801	43	0.20395	1.2704	53.104	47	23.4	29.8	22.2	21.1	21	1739000000	1433100000	305890000	275960000	261510000	14447000	435500000	376920000	58584000	372890000	226720000	146170000	295740000	267880000	27852000	358940000	300100000	58839000				431	11;161;182;710;725;1665;1781;1794;1885;2014;2475;2723;2728;4048;4207;4806;5476;7698;8068;8700	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	11;164;187;732;747;1712;1828;1841;1933;2065;2533;2534;2791;2796;4160;4321;4945;5673;7969;8355;8356;9013;9014	65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;2153;2154;2155;2156;2157;2158;2159;2160;2161;2162;2163;2164;2165;2166;2457;8042;8043;8044;8045;8046;8217;8218;8219;18548;18549;19722;19723;19724;19803;21447;21448;21449;21450;21451;21452;21453;21454;21455;22681;22682;22683;22684;22685;22686;22687;22688;22689;22690;22691;22692;22693;22694;22695;26946;26947;26948;26949;26950;26951;26952;26953;26954;26955;26956;26957;26958;26959;26960;26961;26962;29153;29154;29155;29156;29157;29158;29159;29160;29171;29172;44626;44627;47501;47502;47503;47504;47505;47506;47507;47508;47509;47510;47511;47512;47513;47514;47515;47516;47517;47518;47519;47520;47521;47522;47523;47524;53860;53861;53862;53863;53864;53865;53866;53867;53868;53869;53870;53871;62080;62081;62082;62083;62084;62085;62086;62087;62088;62089;62090;62091;62092;62093;62094;62095;62096;62097;62098;62099;62100;62101;62102;62103;86998;86999;87000;87001;87002;87003;87004;87005;87006;87007;87008;91388;91389;91390;91391;91392;91393;91394;91395;91396;91397;91398;91399;91400;91401;91402;91403;91404;91405;99640;99641;99642;99643;99644;99645;99646;99647;99648;99649;99650;99651;99652;99653;99654;99655;99656;99657;99658;99659;99660;99661;99662;99663;99664;99665;99666;99667;99668;99669;99670;99671;99672;99673;99674;99675;99676;99677;99678;99679;99680;99681;99682	125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;5143;5144;5145;5146;5147;5148;5149;5150;5151;5152;5153;5154;5155;5156;5157;5158;5159;5160;5161;5162;5163;5164;5165;5166;5167;5168;5169;5170;5171;5935;19635;19636;19637;19638;19639;19640;19641;19642;19643;19644;20115;20116;20117;20118;43888;43889;43890;43891;46414;46415;46416;46417;46418;46419;46420;46421;46422;46563;50404;50405;50406;50407;50408;50409;50410;50411;50412;50413;50414;50415;50416;50417;50418;50419;50420;50421;50422;53104;53105;53106;53107;53108;53109;53110;53111;53112;53113;53114;53115;53116;53117;53118;53119;53120;53121;53122;53123;53124;53125;53126;53127;53128;53129;53130;53131;63466;63467;63468;63469;63470;63471;63472;63473;63474;63475;63476;63477;63478;63479;63480;63481;63482;63483;63484;63485;63486;63487;63488;63489;63490;63491;63492;63493;63494;63495;63496;63497;63498;63499;63500;63501;63502;63503;63504;63505;63506;63507;63508;63509;63510;63511;63512;63513;63514;63515;63516;63517;68814;68815;68816;68817;68818;68819;68820;68821;68822;68823;68824;68825;68826;68827;68828;68829;68830;68831;68832;68833;68834;68835;68836;68837;68838;68839;68840;68841;68842;68843;68844;68845;68846;68847;68848;68849;68850;68851;68852;68853;68868;68869;68870;103573;103574;103575;103576;109199;109200;109201;109202;109203;109204;109205;109206;109207;109208;109209;109210;109211;109212;109213;109214;109215;109216;109217;109218;109219;109220;109221;109222;109223;109224;109225;109226;109227;109228;109229;109230;109231;109232;109233;109234;109235;109236;109237;109238;109239;109240;109241;109242;109243;109244;109245;109246;109247;109248;109249;109250;109251;109252;124422;124423;124424;124425;124426;124427;124428;124429;124430;124431;124432;124433;124434;124435;124436;124437;124438;124439;124440;124441;124442;124443;124444;124445;124446;124447;124448;124449;124450;124451;144117;144118;144119;144120;144121;144122;144123;144124;144125;144126;144127;144128;144129;144130;144131;144132;144133;144134;144135;144136;144137;144138;144139;144140;144141;144142;144143;144144;144145;144146;144147;144148;144149;144150;144151;144152;144153;144154;144155;144156;144157;144158;144159;144160;144161;144162;144163;144164;144165;144166;144167;144168;144169;144170;144171;144172;144173;144174;144175;144176;144177;144178;144179;144180;144181;144182;144183;144184;144185;144186;144187;202182;202183;202184;202185;202186;202187;202188;202189;202190;202191;202192;202193;202194;202195;202196;202197;202198;213142;213143;213144;213145;213146;213147;213148;213149;213150;213151;213152;213153;213154;213155;213156;213157;213158;213159;213160;213161;213162;213163;213164;213165;213166;213167;213168;213169;213170;213171;213172;213173;213174;213175;213176;213177;213178;213179;213180;213181;213182;213183;213184;213185;213186;213187;213188;213189;213190;213191;213192;213193;213194;213195;213196;213197;213198;213199;213200;213201;213202;213203;234357;234358;234359;234360;234361;234362;234363;234364;234365;234366;234367;234368;234369;234370;234371;234372;234373;234374;234375;234376;234377;234378;234379;234380;234381;234382;234383;234384;234385;234386;234387;234388;234389;234390;234391;234392;234393;234394;234395;234396;234397;234398;234399;234400;234401;234402;234403;234404;234405;234406;234407;234408;234409;234410;234411;234412;234413;234414;234415;234416;234417;234418;234419;234420;234421;234422;234423;234424;234425;234426;234427;234428;234429;234430;234431;234432;234433;234434;234435;234436;234437;234438;234439;234440;234441;234442;234443;234444;234445	149;5152;5935;19640;20115;43890;46420;46563;50406;53113;63502;68836;68868;103575;109201;124429;144119;202185;213146;234385	174;175;176;177	342;345;621;734
P25719	P25719	6	5	5	"Peptidyl-prolyl cis-trans isomerase C, mitochondrial"	CPR3	">sp|P25719|CYPC_YEAST Peptidyl-prolyl cis-trans isomerase C, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR3 PE=1 SV=1"	1	6	5	5	3	4	3	3	3	3	4	3	2	3	3	4	3	2	3	52.7	45.6	45.6	19.919	182	182	1	52	11	11	12	9	9	4.39E-84	0.12952	1.0059	136.73	51	0.072713	0.072061	132.14	11	0.11294	0.82215	51.243	11	0.60429	1.0735	5.8093	11	0.12717	1.2573	83.745	9	0.12952	1.0059	33.317	9	34.6	39	24.2	25.3	34.6	446170000	366600000	79576000	115620000	111190000	4427200	89387000	76801000	12586000	122840000	74128000	48717000	41316000	36349000	4967200	77007000	68128000	8879500				432	262;1872;2989;3199;7287;8105	True;True;True;True;False;True	269;1920;3071;3284;7547;8394	3403;3404;3405;3406;20369;32007;32008;32009;32010;35463;35464;35465;35466;35467;35468;35469;35470;35471;35472;35473;35474;35475;35476;35477;35478;35479;35480;35481;35482;35483;35484;35485;35486;35487;35488;35489;35490;35491;35492;35493;81668;91950;91951;91952;91953;91954;91955;91956;91957;91958;91959;91960;91961	8363;8364;8365;8366;8367;8368;8369;8370;47978;75271;75272;75273;75274;75275;82941;82942;82943;82944;82945;82946;82947;82948;82949;82950;82951;82952;82953;82954;82955;82956;82957;82958;82959;82960;82961;82962;82963;82964;82965;82966;82967;82968;82969;82970;82971;82972;82973;82974;82975;82976;82977;82978;82979;82980;82981;82982;82983;82984;82985;82986;82987;82988;82989;82990;82991;82992;82993;82994;82995;82996;82997;82998;82999;83000;83001;83002;83003;83004;83005;83006;83007;83008;83009;83010;83011;83012;83013;83014;83015;83016;83017;83018;83019;83020;83021;83022;83023;83024;83025;83026;83027;83028;83029;83030;83031;83032;83033;83034;83035;83036;83037;83038;83039;83040;83041;83042;83043;83044;83045;83046;83047;83048;83049;83050;83051;83052;83053;83054;83055;83056;83057;83058;83059;83060;83061;83062;83063;83064;83065;83066;83067;83068;83069;83070;83071;83072;83073;83074;83075;83076;83077;189679;214415;214416;214417;214418;214419;214420;214421;214422;214423;214424;214425;214426;214427;214428;214429;214430;214431;214432;214433;214434;214435;214436;214437;214438;214439;214440;214441;214442;214443;214444;214445;214446;214447;214448;214449	8364;47978;75272;82970;189679;214422		
P26321	P26321	9	9	9	60S ribosomal protein L5	RPL5	>sp|P26321|RL5_YEAST 60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL5 PE=1 SV=4	1	9	9	9	5	6	6	3	2	5	6	6	3	2	5	6	6	3	2	34.3	34.3	34.3	33.714	297	297	1	186	29	47	25	38	47	3.73E-103	0.25817	0.75656	119.79	71	0.15412	0.19211	130.21	12	0.17403	0.67383	129.27	22	0.43567	0.95662	19.2	13	0.19503	1.127	105.3	10	0.16803	0.77177	38.656	14	17.5	27.9	22.6	12.5	8.8	507850000	448290000	59561000	62061000	59686000	2375300	169890000	157280000	12616000	92108000	63337000	28772000	68512000	65087000	3424900	115270000	102900000	12374000				433	111;1719;2180;2253;2375;2769;2823;4236;8112	True;True;True;True;True;True;True;True;True	113;1766;2233;2307;2433;2840;2897;4351;8402	1320;1321;18885;18886;23935;23936;23937;23938;23939;23940;23941;23942;23943;23944;23945;23946;23947;23948;23949;23950;23951;23952;23953;23954;23955;24554;24555;26014;26015;26016;26017;26018;26019;26020;26021;26022;26023;30105;30106;30448;47867;47868;92047;92048;92049;92050;92051;92052;92053;92054;92055;92056;92057;92058;92059;92060;92061;92062;92063;92064;92065;92066;92067;92068;92069;92070;92071;92072;92073;92074;92075;92076;92077;92078;92079;92080;92081;92082;92083;92084;92085;92086;92087;92088;92089;92090;92091;92092;92093;92094;92095;92096;92097;92098;92099;92100;92101;92102;92103;92104;92105;92106;92107;92108;92109;92110;92111;92112;92113;92114;92115;92116;92117;92118;92119;92120;92121;92122;92123;92124;92125;92126;92127;92128;92129;92130;92131;92132;92133;92134;92135;92136;92137;92138;92139;92140;92141;92142;92143;92144;92145;92146;92147;92148;92149;92150;92151;92152;92153;92154;92155;92156;92157;92158;92159;92160;92161;92162;92163;92164;92165;92166;92167;92168;92169;92170;92171;92172;92173;92174;92175;92176;92177;92178;92179;92180;92181;92182;92183;92184;92185;92186;92187;92188;92189;92190	3133;3134;3135;44685;44686;55995;55996;55997;55998;55999;56000;56001;56002;56003;56004;56005;56006;56007;56008;56009;56010;56011;56012;56013;56014;56015;56016;56017;56018;56019;56020;56021;56022;56023;56024;56025;56026;56027;56028;56029;56030;56031;56032;56033;56034;56035;56036;56037;56038;56039;56040;56041;56042;56043;56044;56045;56046;56047;56048;56049;56050;56051;56052;56053;56054;56055;56056;56057;56058;56059;56060;56061;56062;56063;56064;56065;56066;56067;56068;56069;56070;56071;56072;56073;56074;56075;56076;56077;56078;56079;56080;56081;56082;56083;56084;56085;57626;57627;61167;61168;61169;61170;61171;61172;61173;61174;61175;61176;61177;70923;70924;70925;70926;70927;70928;70929;70930;70931;70932;70933;70934;70935;71633;110083;110084;214625;214626;214627;214628;214629;214630;214631;214632;214633;214634;214635;214636;214637;214638;214639;214640;214641;214642;214643;214644;214645;214646;214647;214648;214649;214650;214651;214652;214653;214654;214655;214656;214657;214658;214659;214660;214661;214662;214663;214664;214665;214666;214667;214668;214669;214670;214671;214672;214673;214674;214675;214676;214677;214678;214679;214680;214681;214682;214683;214684;214685;214686;214687;214688;214689;214690;214691;214692;214693;214694;214695;214696;214697;214698;214699;214700;214701;214702;214703;214704;214705;214706;214707;214708;214709;214710;214711;214712;214713;214714;214715;214716;214717;214718;214719;214720;214721;214722;214723;214724;214725;214726;214727;214728;214729;214730;214731;214732;214733;214734;214735;214736;214737;214738;214739;214740;214741;214742;214743;214744;214745;214746;214747;214748;214749;214750;214751;214752;214753;214754;214755;214756;214757;214758;214759;214760;214761;214762;214763;214764;214765;214766;214767;214768;214769;214770;214771;214772;214773;214774;214775;214776;214777;214778;214779;214780;214781;214782;214783;214784;214785;214786;214787;214788;214789;214790;214791;214792;214793;214794;214795;214796;214797;214798;214799;214800;214801;214802;214803;214804;214805;214806;214807;214808;214809;214810;214811;214812;214813;214814;214815;214816;214817;214818;214819;214820;214821;214822;214823;214824;214825;214826;214827;214828;214829;214830;214831;214832;214833;214834;214835;214836;214837;214838;214839;214840;214841;214842;214843;214844;214845;214846;214847;214848;214849;214850;214851;214852;214853;214854;214855;214856;214857;214858;214859;214860;214861;214862;214863;214864;214865;214866;214867;214868;214869;214870;214871;214872;214873;214874;214875;214876;214877;214878;214879;214880;214881;214882;214883;214884;214885;214886;214887;214888;214889;214890;214891;214892;214893;214894;214895;214896;214897;214898;214899;214900;214901;214902;214903;214904;214905;214906;214907;214908;214909;214910;214911;214912;214913;214914;214915;214916;214917	3135;44685;56025;57626;61173;70932;71633;110083;214651		
P26637	P26637	24	24	24	"Leucine--tRNA ligase, cytoplasmic"	CDC60	">sp|P26637|SYLC_YEAST Leucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1"	1	24	24	24	14	16	10	14	17	14	16	10	14	17	14	16	10	14	17	27.7	27.7	27.7	124.14	1090	1090	1	170	31	37	26	35	41	1.85E-301	0.23485	0.84264	130.75	157	0.23608	0.25783	149.86	29	0.26348	0.78277	118.7	35	0.50967	0.9459	18.248	26	0.1378	0.96618	158.04	29	0.14734	0.94868	61.277	38	17.2	19.8	12.5	16.6	21	1599000000	1329800000	269210000	343500000	301640000	41858000	373410000	322710000	50694000	293320000	193140000	100180000	262770000	227240000	35527000	326050000	285100000	40944000				434	110;416;497;934;1083;1797;2678;2721;2839;2846;2980;3318;3641;4173;5837;5967;6322;6584;7013;7014;7015;7123;7467;8938	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	112;431;514;958;1108;1844;2745;2788;2913;2920;3062;3405;3740;4285;6049;6182;6547;6818;7263;7264;7265;7374;7375;7731;9260	1314;1315;1316;1317;1318;1319;5282;5994;5995;12236;12237;12238;13440;13441;13442;13443;13444;13445;13446;13447;13448;19819;19820;28682;28683;28684;28685;28686;28687;28688;28689;28690;28691;28692;28693;28694;29138;30599;30600;30601;30602;30603;30604;30605;30606;30607;30608;30609;30610;30611;30612;30613;30614;30615;30616;30617;30618;30619;30620;30621;30622;30682;31927;31928;31929;31930;31931;31932;31933;31934;31935;37035;37036;37037;37038;37039;37040;37041;37042;37043;37044;37045;37046;40252;45772;45773;45774;45775;45776;45777;45778;45779;45780;45781;45782;45783;45784;45785;45786;45787;65780;65781;65782;65783;65784;65785;65786;65787;66717;66718;66719;66720;66721;66722;66723;66724;69768;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;78718;78719;78720;78721;78722;78723;78724;78725;78726;78727;78728;78729;78730;78731;78732;78733;78734;79801;79802;79803;79804;79805;79806;79807;79808;79809;79810;79811;79812;79813;83813;103228;103229;103230;103231;103232;103233;103234;103235	3113;3114;3115;3116;3117;3118;3119;3120;3121;3122;3123;3124;3125;3126;3127;3128;3129;3130;3131;3132;12809;14477;14478;28510;28511;28512;28513;28514;31291;31292;31293;31294;31295;31296;31297;31298;31299;31300;31301;31302;31303;31304;31305;31306;31307;31308;31309;31310;31311;31312;31313;46591;46592;67611;67612;67613;67614;67615;67616;67617;67618;67619;67620;67621;67622;67623;67624;67625;67626;67627;67628;67629;67630;67631;67632;67633;67634;67635;67636;67637;67638;67639;67640;67641;67642;67643;67644;67645;67646;67647;67648;67649;67650;67651;67652;68781;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72300;75087;75088;75089;75090;75091;75092;75093;75094;75095;75096;75097;75098;75099;75100;75101;75102;75103;75104;75105;75106;75107;75108;85801;85802;85803;85804;85805;85806;85807;85808;85809;85810;85811;85812;85813;85814;85815;85816;85817;85818;85819;85820;93365;106075;106076;106077;106078;106079;106080;106081;106082;106083;106084;106085;106086;106087;106088;106089;106090;106091;106092;106093;106094;106095;106096;106097;106098;106099;106100;106101;106102;106103;106104;106105;106106;106107;106108;106109;106110;106111;106112;106113;106114;106115;106116;106117;106118;106119;106120;106121;152441;152442;152443;152444;152445;152446;152447;152448;152449;152450;152451;152452;152453;152454;152455;154595;154596;154597;154598;154599;154600;154601;154602;154603;154604;154605;154606;154607;154608;154609;154610;154611;161816;167845;167846;167847;167848;167849;167850;167851;167852;167853;167854;167855;167856;167857;167858;167859;167860;167861;167862;167863;167864;167865;167866;167867;167868;167869;167870;167871;167872;167873;167874;167875;167876;167877;167878;167879;167880;167881;182710;182711;182712;182713;182714;182715;182716;182717;182718;182719;182720;182721;182722;182723;182724;182725;182726;182727;182728;182729;182730;182731;182732;182733;182734;182735;182736;182737;182738;182739;182740;182741;185397;185398;185399;185400;185401;185402;185403;185404;185405;185406;185407;185408;185409;185410;195212;243210;243211;243212;243213;243214;243215;243216;243217;243218;243219;243220;243221;243222;243223;243224;243225;243226;243227	3123;12809;14478;28514;31308;46592;67643;68781;72061;72300;75092;85813;93365;106098;152444;154600;161816;167855;182710;182711;182733;185401;195212;243210	178	738
P26754	P26754	3	3	3	Replication factor A protein 2	RFA2	>sp|P26754|RFA2_YEAST Replication factor A protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFA2 PE=1 SV=1	1	3	3	3	2	2	0	1	1	2	2	0	1	1	2	2	0	1	1	17.9	17.9	17.9	29.936	273	273	1	12	4	3		3	2	6.53E-13	0.27973	1.1063	133.61	12	0.092411	0.10552	89.702	4	0.22864	1.6644	110.14	3	NaN	NaN	NaN	0	0.40224	2.0963	16.967	3	0.32214	1.1063	8.071	2	11.7	15	0	8.8	8.8	21673000	17839000	3833200	7461500	6419600	1041900	6425000	5384100	1040900	0	0	0	2964900	2074100	890850	4821200	3961600	859550				435	939;5641;6163	True;True;True	963;5846;6385	12251;12252;12253;12254;12255;12256;12257;12258;63725;63726;63727;68587	28534;28535;28536;28537;28538;28539;28540;28541;28542;28543;28544;28545;28546;28547;28548;28549;28550;28551;28552;28553;28554;28555;147856;147857;147858;159080	28542;147856;159080		
P26755	P26755	2	2	2	Replication factor A protein 3	RFA3	>sp|P26755|RFA3_YEAST Replication factor A protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFA3 PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	32	32	32	13.816	122	122	1	29	7	4	4	5	9	1.16E-147	0.26181	0.38918	91.303	21	0.1201	0.14842	67.797	3	0.25704	0.52049	104.23	4	0.57276	0.9285	17.309	4	NaN	NaN	NaN	1	0.23818	0.38918	85.213	9	32	32	32	32	32	81474000	70668000	10806000	20575000	19925000	650070	11962000	10304000	1657500	8209700	5453400	2756300	6804900	6496900	308070	33922000	28489000	5433700				436	622;6954	True;True	642;7202	7216;7217;7218;7219;7220;7221;7222;7223;7224;7225;7226;7227;7228;7229;7230;77289;77290;77291;77292;77293;77294;77295;77296;77297;77298;77299;77300;77301;77302	17523;17524;17525;17526;17527;17528;17529;17530;17531;17532;17533;17534;17535;17536;17537;17538;17539;17540;17541;17542;17543;17544;17545;17546;17547;17548;17549;17550;17551;17552;17553;17554;179609;179610;179611;179612;179613;179614;179615;179616;179617;179618;179619;179620;179621;179622;179623;179624;179625;179626;179627;179628;179629;179630;179631;179632;179633;179634;179635;179636;179637;179638;179639;179640	17543;179620		
